No errors
No warnings
531 ms
data source=metars
4855 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
LIRN 021820Z VRB02KT CAVOK 13/08 Q1019 NOSIG,LIRN,2018-04-02T18:20:00Z,40.88,14.3,13.0,8.0,0,2,,6.21,30.088583,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,72.0
LIMW 021820Z AUTO 11014KT 9999 NCD 12/M00 Q1013,LIMW,2018-04-02T18:20:00Z,45.73,7.37,12.0,0.0,110,14,,6.21,29.911417,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,546.0
LGKP 021820Z AUTO 31021KT //// // ////// 16/06 Q1016 RE//,LGKP,2018-04-02T18:20:00Z,35.42,27.15,16.0,6.0,310,21,,,30.0,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,20.0
LGPA 021820Z AUTO VRB02KT //// // ////// 12/04 Q1018 RE//,LGPA,2018-04-02T18:20:00Z,37.0,25.13,12.0,4.0,0,2,,,30.059055,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,36.0
LGMK 021820Z 36005KT CAVOK 14/05 Q1017,LGMK,2018-04-02T18:20:00Z,37.43,25.35,14.0,5.0,360,5,,6.21,30.029528,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,123.0
EBAW 021820Z 16009KT 9999 -RA NSC 12/06 Q0999 NOSIG,EBAW,2018-04-02T18:20:00Z,51.2,4.47,12.0,6.0,160,9,,6.21,29.498032,,,,,,TRUE,,,,-RA,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,14.0
LGSO 021820Z AUTO VRB03KT //// // ////// 15/03 Q1018 RE//,LGSO,2018-04-02T18:20:00Z,37.42,24.95,15.0,3.0,0,3,,,30.059055,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,72.0
EBBR 021820Z 17010KT 9999 -RA NSC 11/05 Q0999 NOSIG,EBBR,2018-04-02T18:20:00Z,50.9,4.5,11.0,5.0,170,10,,6.21,29.498032,,,,,,TRUE,,,,-RA,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,58.0
EBCI 021820Z 17012KT 150V210 9999 -RA NSC 11/04 Q1000 TEMPO 6000 RADZ,EBCI,2018-04-02T18:20:00Z,50.47,4.45,11.0,4.0,170,12,,6.21,29.52756,,,,,,,,,,-RA,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,192.0
EBLG 021820Z 17009KT 140V200 9999 -RA FEW027 BKN048 12/04 Q1000 NOSIG,EBLG,2018-04-02T18:20:00Z,50.63,5.45,12.0,4.0,170,9,,6.21,29.52756,,,,,,TRUE,,,,-RA,FEW,2700,BKN,4800,,,,,VFR,,,,,,,,,,,,METAR,178.0
EBOS 021820Z 18012KT 9000 -RA BKN035 10/07 Q0998 TEMPO 4500 RA BKN014,EBOS,2018-04-02T18:20:00Z,51.2,2.87,10.0,7.0,180,12,,5.59,29.468504,,,,,,,,,,-RA,BKN,3500,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
ELLX 021820Z 17007KT 9999 FEW035 OVC055 11/03 Q1003 NOSIG,ELLX,2018-04-02T18:20:00Z,49.63,6.2,11.0,3.0,170,7,,6.21,29.616142,,,,,,TRUE,,,,,FEW,3500,OVC,5500,,,,,VFR,,,,,,,,,,,,METAR,379.0
LGKO 021820Z 32008KT 9999 FEW016 15/06 Q1016,LGKO,2018-04-02T18:20:00Z,36.8,27.08,15.0,6.0,320,8,,6.21,30.0,,,,,,,,,,,FEW,1600,,,,,,,VFR,,,,,,,,,,,,METAR,125.0
LGAD 021820Z VRB03KT 9999 FEW030 13/08 Q1019,LGAD,2018-04-02T18:20:00Z,37.92,21.27,13.0,8.0,0,3,,6.21,30.088583,,,,,,,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,12.0
LGLM 021820Z 00000KT CAVOK 11/08 Q1017,LGLM,2018-04-02T18:20:00Z,39.92,25.23,11.0,8.0,0,0,,6.21,30.029528,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
LGSA 021820Z 17005KT 9999 FEW020 13/10 Q1018,LGSA,2018-04-02T18:20:00Z,35.53,24.13,13.0,10.0,170,5,,6.21,30.059055,,,,,,,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,135.0
LGTS 021820Z VRB03KT 9999 FEW025 13/05 Q1017 NOSIG,LGTS,2018-04-02T18:20:00Z,40.52,22.97,13.0,5.0,0,3,,6.21,30.029528,,,,,,TRUE,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
LGAL 021820Z 32004KT 9999 FEW030 10/06 Q1017,LGAL,2018-04-02T18:20:00Z,40.85,25.95,10.0,6.0,320,4,,6.21,30.029528,,,,,,,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,3.0
LGEL 021820Z VRB03KT 9999 FEW025 14/07 Q1018,LGEL,2018-04-02T18:20:00Z,38.07,23.55,14.0,7.0,0,3,,6.21,30.059055,,,,,,,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,31.0
LGIO 021820Z /////KT 9999 FEW030 09/06 Q1019,LGIO,2018-04-02T18:20:00Z,39.7,20.82,9.0,6.0,,,,6.21,30.088583,,,,,,,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,476.0
LGKV 021820Z 36007KT 9999 FEW035 12/08 Q1016,LGKV,2018-04-02T18:20:00Z,40.92,24.62,12.0,8.0,360,7,,6.21,30.0,,,,,,,,,,,FEW,3500,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
LGSR 021820Z 28005KT 9999 FEW025 12/04 Q1018,LGSR,2018-04-02T18:20:00Z,36.4,25.48,12.0,4.0,280,5,,6.21,30.059055,,,,,,,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,40.0
LGZA 021820Z 35004KT 9999 FEW025 13/07 Q1019,LGZA,2018-04-02T18:20:00Z,37.75,20.87,13.0,7.0,350,4,,6.21,30.088583,,,,,,,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,3.0
EGNS 021820Z 07018KT 3000 RADZ BKN004 BKN006 OVC010 05/05 Q0988 TEMPO 6000 -RADZ SCT004 BKN006,EGNS,2018-04-02T18:20:00Z,54.08,-4.63,5.0,5.0,70,18,,1.86,29.17323,,,,,,,,,,RA DZ,BKN,400,BKN,600,OVC,1000,,,LIFR,,,,,,,,,,,,METAR,17.0
EDGS 021820Z 16013KT 9999 FEW048 BKN086 08/02 Q1003 RERA,EDGS,2018-04-02T18:20:00Z,50.7,8.08,8.0,2.0,160,13,,6.21,29.616142,,,,,,,,,,,FEW,4800,BKN,8600,,,,,VFR,,,,,,,,,,,,METAR,602.0
EDHL 021820Z 10005KT 9999 SCT033 BKN073 06/M00 Q1006,EDHL,2018-04-02T18:20:00Z,53.8,10.72,6.0,0.0,100,5,,6.21,29.704725,,,,,,,,,,,SCT,3300,BKN,7300,,,,,VFR,,,,,,,,,,,,METAR,16.0
EDLN 021820Z /////KT CAVOK ///// Q1001,EDLN,2018-04-02T18:20:00Z,51.23,6.5,,,,,,6.21,29.557087,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,38.0
EDLP 021820Z 15012KT CAVOK 11/02 Q1002,EDLP,2018-04-02T18:20:00Z,51.62,8.62,11.0,2.0,150,12,,6.21,29.586615,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,213.0
EDLW 021820Z 17012KT 140V200 9999 FEW043 OVC066 12/01 Q1001,EDLW,2018-04-02T18:20:00Z,51.52,7.62,12.0,1.0,170,12,,6.21,29.557087,,,,,,,,,,,FEW,4300,OVC,6600,,,,,VFR,,,,,,,,,,,,METAR,127.0
EDMA 021820Z 16003KT CAVOK 12/M01 Q1007,EDMA,2018-04-02T18:20:00Z,48.42,10.92,12.0,-1.0,160,3,,6.21,29.734253,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,463.0
EDNY 021820Z AUTO 00000KT 9999 // BKN110/// OVC150/// 09/00 Q1006,EDNY,2018-04-02T18:20:00Z,47.67,9.52,9.0,0.0,0,0,,6.21,29.704725,,,TRUE,,,,,,,,BKN,11000,OVC,15000,,,,,VFR,,,,,,,,,,,,METAR,424.0
EDSB 021820Z 32002KT CAVOK 12/05 Q1004,EDSB,2018-04-02T18:20:00Z,48.78,8.08,12.0,5.0,320,2,,6.21,29.64567,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,124.0
EDFH 021820Z 15013KT CAVOK 10/M01 Q1003,EDFH,2018-04-02T18:20:00Z,49.95,7.27,10.0,-1.0,150,13,,6.21,29.616142,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,498.0
EDHI 021820Z AUTO 13004KT 080V180 9999 // FEW037/// OVC044/// 07/02 Q1005,EDHI,2018-04-02T18:20:00Z,53.53,9.83,7.0,2.0,130,4,,6.21,29.675198,,,TRUE,,,,,,,,FEW,3700,OVC,4400,,,,,VFR,,,,,,,,,,,,METAR,13.0
EDLV 021820Z 15008KT 9000 -RA NSC 11/06 Q1000,EDLV,2018-04-02T18:20:00Z,51.6,6.15,11.0,6.0,150,8,,5.59,29.52756,,,,,,,,,,-RA,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,32.0
EDJA 021820Z 14004KT CAVOK 10/06 Q1007,EDJA,2018-04-02T18:20:00Z,47.98,10.23,10.0,6.0,140,4,,6.21,29.734253,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,633.0
EDVE 021820Z 11008KT CAVOK 08/02 Q1005,EDVE,2018-04-02T18:20:00Z,52.32,10.55,8.0,2.0,110,8,,6.21,29.675198,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,88.0
EDTY 021820Z 13004KT 100V160 CAVOK 13/M01 Q1006,EDTY,2018-04-02T18:20:00Z,49.12,9.78,13.0,-1.0,130,4,,6.21,29.704725,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,400.0
EDXW 021820Z 13013KT 8000 -RADZ FEW005 BKN011 03/01 Q1004,EDXW,2018-04-02T18:20:00Z,54.92,8.33,3.0,1.0,130,13,,4.97,29.64567,,,,,,,,,,-RA -DZ,FEW,500,BKN,1100,,,,,MVFR,,,,,,,,,,,,METAR,20.0
EDVK 021820Z 14007KT 9999 -DZ SCT040 BKN070 10/03 Q1004,EDVK,2018-04-02T18:20:00Z,51.38,9.37,10.0,3.0,140,7,,6.21,29.64567,,,,,,,,,,-DZ,SCT,4000,BKN,7000,,,,,VFR,,,,,,,,,,,,METAR,285.0
ENNE 021820Z AUTO 01013KT 9999NDV NCD 01/M09 Q1005 W///S5,ENNE,2018-04-02T18:20:00Z,66.03,8.08,1.0,-9.0,10,13,,,29.675198,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,10.0
ENQR 021820Z AUTO 05011KT 9999NDV BKN027/// 03/M03 Q1006 W///S4,ENQR,2018-04-02T18:20:00Z,61.35,2.22,3.0,-3.0,50,11,,,29.704725,,,TRUE,,,,,,,,BKN,2700,,,,,,,,,,,,,,,,,,,METAR,10.0
ENSE 021820Z AUTO 05013KT 9999NDV FEW023/// BKN047/// 02/M02 Q1006 W///S4,ENSE,2018-04-02T18:20:00Z,61.45,2.15,2.0,-2.0,50,13,,,29.704725,,,TRUE,,,,,,,,FEW,2300,BKN,4700,,,,,,,,,,,,,,,,,METAR,10.0
ENQC 021820Z AUTO 04009KT 9999NDV NCD 02/M03 Q1005 W///S4,ENQC,2018-04-02T18:20:00Z,60.88,3.62,2.0,-3.0,40,9,,,29.675198,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,20.0
ENQA 021820Z AUTO 04011KT 9999NDV NCD 01/M03 Q1005 W03/S4,ENQA,2018-04-02T18:20:00Z,60.65,3.72,1.0,-3.0,40,11,,,29.675198,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,20.0
ENHM 021820Z AUTO 09011KT 9999NDV FEW036/// 03/M05 Q1004 W06/S4,ENHM,2018-04-02T18:20:00Z,59.57,2.23,3.0,-5.0,90,11,,,29.64567,,,TRUE,,,,,,,,FEW,3600,,,,,,,,,,,,,,,,,,,METAR,10.0
ENLA 021820Z AUTO 11020KT 9999NDV SCT021/// BKN100/// 03/M01 Q1001 W///S3,ENLA,2018-04-02T18:20:00Z,57.1,2.83,3.0,-1.0,110,20,,,29.557087,,,TRUE,,,,,,,,SCT,2100,BKN,10000,,,,,,,,,,,,,,,,,METAR,4.0
ENUG 021820Z AUTO VRB12G27KT 9999NDV FEW023/// SCT100/// BKN140/// 00/M06 Q1009 W///S4,ENUG,2018-04-02T18:20:00Z,,,0.0,-6.0,0,12,27,,29.793306,,,TRUE,,,,,,,,FEW,2300,SCT,10000,BKN,14000,,,,,,,,,,,,,,,METAR,
ENWV 021820Z AUTO 10026KT 9999NDV -RASN OVC005/// 01/00 Q1001 W///S4,ENWV,2018-04-02T18:20:00Z,,,1.0,0.0,100,26,,,29.557087,,,TRUE,,,,,,,SN -RA,OVC,500,,,,,,,,,,,,,,,,,,,METAR,
ENBN 021820Z 18007KT 9999 FEW014 SCT025 BKN045 00/00 Q1004,ENBN,2018-04-02T18:20:00Z,65.47,12.22,0.0,0.0,180,7,,6.21,29.64567,,,,,,,,,,,FEW,1400,SCT,2500,BKN,4500,,,VFR,,,,,,,,,,,,METAR,9.0
ENHF 021820Z 04010KT CAVOK M04/M08 Q1009 RMK WIND 1254FT 11017KT,ENHF,2018-04-02T18:20:00Z,70.67,23.67,-4.0,-8.0,40,10,,6.21,29.793306,,,,,,,,,,,CAVOK,,,,,,,,VFR,,-1.7,,,,,,,,,,METAR,81.0
ENRA 021820Z 11003KT 9999 FEW050 SCT080 M02/M09 Q1004,ENRA,2018-04-02T18:20:00Z,66.37,14.3,-2.0,-9.0,110,3,,6.21,29.64567,,,,,,,,,,,FEW,5000,SCT,8000,,,,,VFR,,,,,,,,,,,,METAR,70.0
EETN 021820Z 29013KT 2500 SN BKN006 OVC013 M00/M01 Q0992 R08/590393 NOSIG,EETN,2018-04-02T18:20:00Z,59.4,24.82,0.0,-1.0,290,13,,1.55,29.291338,,,,,,TRUE,,,,SN,BKN,600,OVC,1300,,,,,IFR,,,,,,,,,,,,METAR,40.0
EYKA 021820Z 27012KT 9999 OVC021 01/M02 Q1004,EYKA,2018-04-02T18:20:00Z,54.97,24.08,1.0,-2.0,270,12,,6.21,29.64567,,,,,,,,,,,OVC,2100,,,,,,,MVFR,,,,,,,,,,,,METAR,77.0
EKVG 021820Z AUTO 35016KT 9999NDV -FZDZ FEW027/// BKN058/// M01/M04 Q1009 RMK BKN017/// WIND 850FT 36021G33KT,EKVG,2018-04-02T18:20:00Z,62.07,-7.3,-1.0,-4.0,350,16,,,29.793306,,,TRUE,,,,,,,-FZDZ,FEW,2700,BKN,5800,,,,,,,,,,,,,,,,,METAR,85.0
EVRA 021820Z 29008KT 230V350 9999 BKN015 OVC022 01/M00 Q0999 NOSIG,EVRA,2018-04-02T18:20:00Z,56.92,23.97,1.0,0.0,290,8,,6.21,29.498032,,,,,,TRUE,,,,,BKN,1500,OVC,2200,,,,,MVFR,,,,,,,,,,,,METAR,10.0
KGOO 021820Z AUTO 27007KT 10SM CLR 16/04 A2992 RMK AO1,KGOO,2018-04-02T18:20:00Z,39.22,-121.0,16.0,4.0,270,7,,10.0,29.920275,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,962.0
KGWW 021820Z AUTO 00000KT 10SM CLR 27/09 A2995 RMK AO2 T02730086,KGWW,2018-04-02T18:20:00Z,35.47,-77.97,27.3,8.6,0,0,,10.0,29.949802,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,41.0
LSZC 021820Z AUTO 28005KT 240V310 9999 BKN140 10/04 Q1006,LSZC,2018-04-02T18:20:00Z,46.97,8.38,10.0,4.0,280,5,,6.21,29.704725,,,TRUE,,,,,,,,BKN,14000,,,,,,,VFR,,,,,,,,,,,,METAR,450.0
LSZS 021820Z AUTO 23010KT 9999 NCD 02/M04 Q1013,LSZS,2018-04-02T18:20:00Z,46.53,9.88,2.0,-4.0,230,10,,6.21,29.911417,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1706.0
LSZR 021820Z 11007KT 9999 SCT080 OVC110 09/00 Q1007 NOSIG RMK O,LSZR,2018-04-02T18:20:00Z,47.48,9.57,9.0,0.0,110,7,,6.21,29.734253,,,,,,TRUE,,,,,SCT,8000,OVC,11000,,,,,VFR,,,,,,,,,,,,METAR,398.0
LSZG 021820Z AUTO 27002KT 9999 NSC 09/04 Q1007,LSZG,2018-04-02T18:20:00Z,47.17,7.42,9.0,4.0,270,2,,6.21,29.734253,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,430.0
LSGS 021820Z AUTO 10007KT 060V180 9999 FEW120 14/M04 Q1009,LSGS,2018-04-02T18:20:00Z,46.22,7.32,14.0,-4.0,100,7,,6.21,29.793306,,,TRUE,,,,,,,,FEW,12000,,,,,,,VFR,,,,,,,,,,,,METAR,481.0
LSGC 021820Z AUTO 00000KT CAVOK 08/00 Q1006,LSGC,2018-04-02T18:20:00Z,47.08,6.8,8.0,0.0,0,0,,6.21,29.704725,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1027.0
ESUT 021820Z AUTO 30003KT 9999 NCD M07/M12 Q1002,ESUT,2018-04-02T18:20:00Z,65.8,15.08,-7.0,-12.0,300,3,,6.21,29.586615,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,463.0
LLBG 021820Z VRB03KT CAVOK 19/14 Q1013 NOSIG,LLBG,2018-04-02T18:20:00Z,32.0,34.88,19.0,14.0,0,3,,6.21,29.911417,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,49.0
SBPA 021820Z 22007KT 9999 FEW010 BKN015 BKN100 23/20 Q1009,SBPA,2018-04-02T18:20:00Z,-30.0,-51.17,23.0,20.0,220,7,,6.21,29.793306,,,,,,,,,,,FEW,1000,BKN,1500,BKN,10000,,,MVFR,,,,,,,,,,,,SPECI,3.0
PALP 021820Z 00000KT 2SM BR SCT007 M22/M25 A3079,PALP,2018-04-02T18:20:00Z,70.33,-150.93,-22.0,-25.0,0,0,,2.0,30.791338,,,,,,,,,,BR,SCT,700,,,,,,,IFR,,,,,,,,,,,,SPECI,5.0
EYSA 021820Z 27015KT 9999 FEW025 01/M02 Q1002 BLU NOSIG,EYSA,2018-04-02T18:20:00Z,55.9,23.4,1.0,-2.0,270,15,,6.21,29.586615,,,,,,TRUE,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,135.0
EFIV 021820Z AUTO 03005KT CAVOK M03/M09 Q1006,EFIV,2018-04-02T18:20:00Z,68.62,27.42,-3.0,-9.0,30,5,,6.21,29.704725,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,148.0
EFMA 021820Z AUTO 31012KT CAVOK M00/M05 Q0999,EFMA,2018-04-02T18:20:00Z,60.12,19.88,0.0,-5.0,310,12,,6.21,29.498032,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
EFRO 021820Z AUTO 04012KT CAVOK M01/M09 Q1000,EFRO,2018-04-02T18:20:00Z,66.57,25.82,-1.0,-9.0,40,12,,6.21,29.52756,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,201.0
EFOU 021820Z AUTO 07010KT 040V100 9000 -SN SCT025/// OVC033/// M00/M03 Q0997,EFOU,2018-04-02T18:20:00Z,64.92,25.37,0.0,-3.0,70,10,,5.59,29.438976,,,TRUE,,,,,,,-SN,SCT,2500,OVC,3300,,,,,VFR,,,,,,,,,,,,METAR,15.0
EFVA 021820Z AUTO 01014KT 9999 BKN100/// M03/M07 Q0997,EFVA,2018-04-02T18:20:00Z,63.03,21.77,-3.0,-7.0,10,14,,6.21,29.438976,,,TRUE,,,,,,,,BKN,10000,,,,,,,VFR,,,,,,,,,,,,METAR,4.0
EFTU 021820Z AUTO 32006KT 9999 -RASN SCT034/// BKN041/// OVC049/// M01/M02 Q0995,EFTU,2018-04-02T18:20:00Z,60.52,22.27,-1.0,-2.0,320,6,,6.21,29.379921,,,TRUE,,,,,,,-RA -SN,SCT,3400,BKN,4100,OVC,4900,,,VFR,,,,,,,,,,,,METAR,59.0
EFTP 021820Z AUTO 32008KT 270V350 5000 -SN FEW006 BKN011 BKN016 M01/M02 Q0993,EFTP,2018-04-02T18:20:00Z,61.42,23.62,-1.0,-2.0,320,8,,3.11,29.320866,,,TRUE,,,,,,,-SN,FEW,600,BKN,1100,BKN,1600,,,MVFR,,,,,,,,,,,,METAR,112.0
EFHK 021820Z 29011KT 6000 -SN FEW007 BKN011 BKN045 M01/M02 Q0991 TEMPO 3000,EFHK,2018-04-02T18:20:00Z,60.32,24.97,-1.0,-2.0,290,11,,3.73,29.26181,,,,,,,,,,-SN,FEW,700,BKN,1100,BKN,4500,,,MVFR,,,,,,,,,,,,METAR,56.0
VNKT 021820Z 20003KT 7000 FEW015 SCT030 BKN100 15/13 Q1020 NOSIG,VNKT,2018-04-02T18:20:00Z,27.68,85.37,15.0,13.0,200,3,,4.35,30.11811,,,,,,TRUE,,,,,FEW,1500,SCT,3000,BKN,10000,,,MVFR,,,,,,,,,,,,METAR,1337.0
KHSD 021820Z AUTO 18009KT 10SM OVC016 07/01 A2981 RMK A01,KHSD,2018-04-02T18:20:00Z,35.6,-97.72,7.0,1.0,180,9,,10.0,29.811024,,,TRUE,TRUE,,,,,,,OVC,1600,,,,,,,MVFR,,,,,,,,,,,,METAR,364.0
KIXA 021820Z AUTO 03006G14KT 10SM CLR 21/11 A2998 RMK AO2,KIXA,2018-04-02T18:20:00Z,36.33,-77.63,21.0,11.0,30,6,14,10.0,29.97933,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,44.0
KONX 021820Z AUTO 36015G19KT 10SM CLR 15/08 A3003 RMK AO2 T01470079,KONX,2018-04-02T18:20:00Z,36.4,-76.02,14.7,7.9,360,15,19,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
KOWI 021820Z AUTO 14010KT 5SM BR OVC005 00/00 A2985 RMK AO2,KOWI,2018-04-02T18:20:00Z,38.53,-95.25,0.0,0.0,140,10,,5.0,29.84941,,,TRUE,TRUE,,,,,,BR,OVC,500,,,,,,,IFR,,,,,,,,,,,,METAR,292.0
KPGV 021820Z AUTO 30006KT 10SM CLR 27/09 A2997 RMK AO2,KPGV,2018-04-02T18:20:00Z,35.62,-77.4,27.0,9.0,300,6,,10.0,29.970472,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,8.0
LATI 021820Z 04002KT CAVOK 12/08 Q1020 NOSIG,LATI,2018-04-02T18:20:00Z,41.42,19.72,12.0,8.0,40,2,,6.21,30.11811,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,90.0
ESNX 021820Z 36004KT CAVOK M03/M11 Q1001,ESNX,2018-04-02T18:20:00Z,65.58,19.28,-3.0,-11.0,360,4,,6.21,29.557087,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,379.0
ENBO 021820Z 07007KT 9999 FEW030 SCT100 M02/M08 Q1005 NOSIG,ENBO,2018-04-02T18:20:00Z,67.27,14.37,-2.0,-8.0,70,7,,6.21,29.675198,,,,,,TRUE,,,,,FEW,3000,SCT,10000,,,,,VFR,,,,,,,,,,,,METAR,13.0
ENBR 021820Z 34005KT 9999 VCSH FEW025CB SCT045 02/M03 Q1005 NOSIG RMK WIND 1200FT 01004KT,ENBR,2018-04-02T18:20:00Z,60.28,5.22,2.0,-3.0,340,5,,6.21,29.675198,,,,,,TRUE,,,,VCSH,FEW,2500,SCT,4500,,,,,VFR,,,,,,,,,,,,METAR,50.0
ENAN 021820Z 20003KT CAVOK M03/M09 Q1006,ENAN,2018-04-02T18:20:00Z,69.28,16.13,-3.0,-9.0,200,3,,6.21,29.704725,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,14.0
KDSF 021820Z AUTO 11007KT 7SM SCT015 BKN020 SCT029 23/22 A3003 RMK A01,KDSF,2018-04-02T18:20:00Z,,,23.0,22.0,110,7,,7.0,30.029528,,,TRUE,TRUE,,,,,,,SCT,1500,BKN,2000,SCT,2900,,,MVFR,,,,,,,,,,,,METAR,
LIRQ 021820Z 24006KT 9999 SCT050 15/09 Q1016,LIRQ,2018-04-02T18:20:00Z,43.78,11.18,15.0,9.0,240,6,,6.21,30.0,,,,,,,,,,,SCT,5000,,,,,,,VFR,,,,,,,,,,,,METAR,38.0
ESCF 021820Z AUTO 27004KT 9999 NCD 01/M08 Q1004,ESCF,2018-04-02T18:20:00Z,58.38,15.52,1.0,-8.0,270,4,,6.21,29.64567,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,117.0
KBZN 021819Z 35020KT 4SM -SN BKN030 OVC037 M03/M07 A2964 RMK AO2 PK WND 36027/1800 P0000 T10331067,KBZN,2018-04-02T18:19:00Z,45.78,-111.17,-3.3,-6.7,350,20,,4.0,29.639763,,,,TRUE,,,,,,-SN,BKN,3000,OVC,3700,,,,,MVFR,,,,,,0.005,,,,,,SPECI,1361.0
PHBK 021819Z AUTO 18005KT 5SM RA FEW006 BKN027 OVC045 21/ A2987 RMK AO2 T0206 PNO $,PHBK,2018-04-02T18:19:00Z,22.03,-159.78,20.6,,180,5,,5.0,29.870079,,,TRUE,TRUE,TRUE,,,,,RA,FEW,600,BKN,2700,OVC,4500,,,MVFR,,,,,,,,,,,,SPECI,8.0
KTTF 021819Z AUTO 15007G15KT 10SM CLR 03/M09 A3012 RMK AO2 T00291086,KTTF,2018-04-02T18:19:00Z,41.93,-83.42,2.9,-8.6,150,7,15,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,188.0
KCGS 021818Z AUTO 05005KT 10SM OVC018 07/02 A3012 RMK AO1 T00700024,KCGS,2018-04-02T18:18:00Z,38.98,-76.92,7.0,2.4,50,5,,10.0,30.121063,,,TRUE,TRUE,,,,,,,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,SPECI,15.0
